,Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
110,40.77054093,-73.97632434,5C-PM-1010-13,PM,2018-10-10,Adult,Gray,Above Ground,way up a tree!,0,0,1,0,0,,0,0,0,0,0,0,0,0
111,40.77551819,-73.96517545,15I-AM-1008-01,AM,2018-10-08,Adult,Gray,Above Ground,tree,0,0,1,1,0,,0,0,0,0,0,0,1,0
112,40.781574,-73.97001006,19B-PM-1018-01,PM,2018-10-18,Adult,Gray,Above Ground,,1,0,0,0,0,flying,0,0,0,0,0,0,0,0
113,40.77623855,-73.97190562,13D-PM-1018-10,PM,2018-10-18,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,1,0,1,0
114,40.79228962,-73.95300409,36I-PM-1007-10,PM,2018-10-07,Juvenile,Gray,Ground Plane,,0,0,0,1,0,stole (found?) an entire sandwich,0,0,0,0,0,0,1,0
115,40.79884873,-73.95720938,41B-AM-1010-06,AM,2018-10-10,Adult,Gray,Above Ground,,0,0,1,0,0,,0,0,0,0,0,0,0,0
116,40.79395811,-73.96077463,35B-AM-1010-01,AM,2018-10-10,Adult,Gray,Ground Plane,lawn,0,0,0,0,0,walking w/ something in mouth,0,0,0,0,0,0,1,0
117,40.79739234,-73.9566346,40D-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,,1,0,0,0,0,,0,0,0,0,0,0,0,0
118,40.79638268,-73.95920389,38B-PM-1018-02,PM,2018-10-18,Adult,Gray,Ground Plane,,0,0,0,0,1,burying nut,0,0,0,0,0,0,0,0
119,40.79508133,-73.95111187,40I-AM-1018-01,AM,2018-10-18,Adult,Cinnamon,Ground Plane,,1,0,0,0,1,begging,0,0,0,0,0,0,0,0
120,40.77295376,-73.97699398,7B-AM-1008-10,AM,2018-10-08,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
121,40.77633104,-73.97125278,13D-AM-1014-08,AM,2018-10-14,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,0,1
122,40.77726246,-73.96711471,16G-AM-1010-03,AM,2018-10-10,Adult,Gray,Ground Plane,,0,0,0,0,1,was hanging out w/ #2 until i showed up,1,0,0,0,0,0,0,1
123,40.79825979,-73.95886603,40A-AM-1010-03,AM,2018-10-10,Adult,Gray,Ground Plane,bottom of great hill,0,0,0,1,1,,0,0,0,1,0,0,1,1
124,40.77618418,-73.96516015,15I-PM-1012-07,PM,2018-10-12,Adult,Cinnamon,Ground Plane,,1,0,0,0,1,,0,0,0,0,0,0,0,0
125,40.76937118,-73.97921555,3B-PM-1007-11,PM,2018-10-07,Adult,Gray,Above Ground,in tree,0,0,1,0,0,,0,0,0,0,0,0,0,0
126,40.78287789,-73.96641005,21D-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,1,0,1,0
127,40.77484671,-73.97462291,10B-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,,0,0,0,1,1,,0,0,0,0,1,0,0,0
128,40.7761093,-73.9705093,13E-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,,0,0,0,1,1,,0,0,0,0,0,0,1,0
129,40.79977082,-73.95816559,41A-PM-1007-06,PM,2018-10-07,Adult,Black,Ground Plane,,1,0,1,1,0,,0,0,0,0,0,0,0,1
130,40.76629923,-73.97555608,2F-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,0,0
131,40.78282081,-73.96964335,20B-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,,0,0,0,0,1,quietly,0,0,0,0,0,0,1,0
132,40.78789643,-73.96647116,26A-PM-1006-06,PM,2018-10-06,Adult,Gray,Ground Plane,Tree 90th left 90th & 89,0,0,1,0,0,,0,0,0,1,0,0,0,0
